key,value,type
id,map_001_gwb_corridor,str
name,Open Night — Fort Lee / GWB / Washington Heights,str
description,"v0.9.0 consolidation release candidate; Pass 25 final visual-convergence corridor with fixed-scale modular buildings, street detail and hand-authored landmarks; the default and only playable map.",str
chunked,true,bool
chunk_size,1024,int
chunk_cols,16,int
chunk_rows,12,int
world_w,16384,int
world_h,12288,int
interest_radius_chunks,2,int
map_area_multiplier,2,int
chunk_cache_limit,30,int
procedural_buildings,false,bool
target_player_height_px,29,int
target_sedan_length_px,74,int
target_lane_width_px,38,int
target_sidewalk_width_px,44,float
bicycle_render_scale,0.72,float
edge_tunnel_count,0,int
render_style,approved_nyc_gta2_callback_v3,str
camera_projection,orthographic_topdown,str
outdoor_perspective_skew,0,float
global_map_rotation_deg,0,float
default_render_mode,night,str
default_lighting_profile,night_callback,str
street_lamps_enabled,true,bool
baked_composition,true,bool
baked_composition_archive,assets/environment/approved/map_001_gwb_corridor/composition_tiles_v25.zip,str
baked_composition_world_y,2048,int
baked_composition_source_scale,0.5,float
map_build_id,open_night_v0_9_0_pass25_default_only,str
release_version,0.9.0,str
grid_enabled,true,bool
grid_cell_size,32,int
grid_chunk_cache_limit,30,int
server_region_chunk_cols,8,int
server_region_chunk_rows,4,int
scalability_target_players,1000,int
render_pass,25,int
road_network_rule,terrain_aware_hierarchy_with_staggered_locals_v2,str
surface_preservation_rule,filtered_reference_polygons_with_district_caps_v1,str
building_cosmetic_rule,pass25_fixed_scale_modular_massing_landmark_v1,str
building_sprite_scale_band,0.88..1.12,str
building_layer_model,ground_upper_roof_v1,str
outdoor_level_count,3,int
default_player_level,0,int
yellow_center_lines,false,bool
building_component_scale_contract,config/environment_component_scale.csv,str
building_modular_detail_pass,true,bool
building_massing_convergence_pass,true,bool
street_detail_density_pass,true,bool
hand_authored_landmark_pass,true,bool
final_visual_convergence_pass,true,bool
visual_convergence_failures,0,int
approved_visual_checkpoint,pass25,str
runtime_building_collision_inset,40,float
